"Env","Name","Portal Url"
"qa-usu","Utah State University","https://qa-usu.pathify.com"
"qa-oakland","Oakland University","https://qa-oakland.pathify.com"
"qa-xavier","Pathify University","https://qa-xavier.pathify.com"
"qa-touro","Touro University","https://qa-touro.pathify.com"
"qa-unwsp","Pathify University","https://qa-unwsp.pathify.com"
"qa-wvncc","Pathify University","https://qa-wvncc.pathify.com"
"sales-demo","Pathify University","https://sales-demo.pathify.com"
"qa-uwa","UWA","https://qa-uwa.pathify.com"
"qa-rmit","RMIT Online","https://qa-rmit.pathify.com"
"qa-cornerstone","Cornerstone","https://qa-cornerstone.pathify.com"
"qa-ung","Pathify University","https://qa-ung.pathify.com"
"qa-samford","Pathify University","https://qa-samford.pathify.com"
"qa-svsu","Pathify University","https://qa-svsu.pathify.com"
"qa-rollins","MyRollins","https://qa-rollins.pathify.com"
"qa-mccc","Montgomery County Community College","https://qa-mccc.ucroo.org"
"qa-rvu","Pathify University","https://qa-rvu.pathify.com"
"qa-otis","Otis College of Art and Design","https://qa-otis.pathify.com"
"qa-pitzer","Pathify University","https://qa-pitzer.pathify.com"
"qa-bpu","Bay Path University","https://qa-bpu.pathify.com"
"volume","Pathify University","https://volume.pathify.com"
"qa-roanestate","Pathify University","https://qa-roanestate.pathify.com"
"qa-acu","Abilene Christian University","https://qa-acu.pathify.com"
"qa-wheaton","Wheaton College","https://qa-wheaton.pathify.com"
"qa-nova","Pathify University","https://qa-nova.pathify.com"
"qa-pomona","Pathify University","https://qa-pomona.pathify.com"
"qa-ventura","Pathify University","https://myqa.vcccd.edu"
"qa-ssc","Stark State College","https://qa-ssc.pathify.com"
"qa-rutgers","Rutgers University","https://qa-rutgers.pathify.com"
"qa-franciscan","Franciscan University of Steubenville","https://qa-franciscan.pathify.com"
"qa-newschool","The New School","https://mynewschooltest.newschool.edu"
"qa-fayetteville","Fayetteville State University","https://qa-fayetteville.pathify.com"
"qa-grambling","Pathify University","https://qa-grambling.pathify.com"
"qa-csbsju","Saint Ben\"s and Saint John\"s","https://qa-csbsju.pathify.com"
"qa-denver","University of Denver","https://qa-denver.pathify.com"
"qa-uncp","Pathify University","https://qa-uncp.pathify.com"
"qa-virginia","The McIntire School of Commerce at UVA","https://qa-virginia.pathify.com"
"qa-wheatonma","Pathify University","https://qa-wheatonma.pathify.com"
"qa-gvsu","Pathify University","https://qa-gvsu.pathify.com"
"qa-pccc","Passaic County Community College","https://qa-pccc.pathify.com"
"qa-collegium","Collegium","https://qa-collegium.pathify.com"
"qa-usnh","University System of New Hampshire","https://qa-usnh.pathify.com"
"qa-nocccd","North Orange County Community College District","https://qa-nocccd.pathify.com"
"qa-wssu","Winston-Salem University","https://qa-wssu.pathify.com"
"tutorials","Pathify University","https://tutorials.pathify.com"
"qa-niacc","NIACC","https://qa-niacc.pathify.com"
"qa-sgu","Pathify University","https://qa-sgu.pathify.com"
"qa-pnw","Purdue University Northwest","https://qa-pnw.pathify.com"
"qa-valencia","Pathify University","https://qa-valencia.pathify.com"
"qa-wsutech","Pathify University","https://qa-wsutech.pathify.com"
"ameritech","Joyce University","https://my.joyce.edu"
"acu","Abilene Christian University","https://my.acu.edu"
"abac","Abraham Baldwin Agricultural College","https://my.abac.edu"
"albany","The University at Albany","https://myualbany.albany.edu"
"helpdesk","Party Town","https://helpdesk.pathify.com"
"asub","Pathify University","https://asub.pathify.com"
"astate","Pathify University","https://astate.pathify.com"
"alasu","Alabama State University GEAR UP","https://alasu.pathify.com"
"atlm","Atlanta Metropolitan State College","https://my.atlm.edu"
"atc","Aiken Technical College","https://portal.atc.edu"
"anthology","Pathify University","https://anthology.pathify.com"
"icms","ICMS","https://my.icms.edu.au"
"bpu","Bay Path University","https://one.baypath.edu"
"aquinas","MyAQ - Aquinas College","https://my.aquinas.edu"
"asumids","Pathify University","https://asumids.pathify.com"
"edaff","Education Affiliates","https://ignitetolearn.com"
"asutr","Pathify University","https://asutr.pathify.com"
"angelo","RamPort - Angelo State University","https://ramport.angelo.edu"
"braven","Braven","https://my.braven.org"
"agnesscott","Agnes Scott College","https://myagnes.agnesscott.edu"
"asumh","Pathify University","https://asumh.pathify.com"
"chaffey","Chaffey College","https://my.chaffey.edu"
"bsu","MyBallState","https://myballstate.bsu.edu"
"bradley","Bradley University","https://beconnected.bradley.edu"
"byuh","BYU–Hawaii","https://my.byuh.edu"
"community","Collegium","https://collegium.pathify.com"
"ccis","Columbia College","https://myportal.ccis.edu"
"augusta","Augusta University","https://my.augusta.edu"
"clovis","Pathify University","https://clovis.pathify.com"
